Date, holiday_name
'2022-01-06',Йордановден
'2022-01-07',Ивановден
'2022-01-21',Бабинден
'2022-02-14',Трифонзарезан/СветиВалентин
'2022-03-01',БабаМарта
'2022-03-08',Деннажената
'2022-06-24',Еньовден
'2022-08-15',ГолямаБогородица
'2022-09-14',Кръстовден
'2022-10-26',Местенпразник-Димитровден
'2022-11-08',Архангеловден
'2022-12-06',Никулден
'2022-12-27',Стефановден
'2023-01-06',Йордановден
'2023-01-07',Ивановден
'2023-01-21',Бабинден
'2023-02-14',Трифонзарезан/СветиВалентин
'2023-03-01',БабаМарта
'2023-03-08',Деннажената
'2023-06-24',Еньовден
'2023-08-15',ГолямаБогородица
'2023-09-14',Кръстовден
'2023-10-26',Местенпразник-Димитровден
'2023-11-08',Архангеловден
'2023-12-06',Никулден
'2023-12-27',Стефановден
'2024-01-06',Йордановден
'2024-01-07',Ивановден
'2024-01-21',Бабинден
'2024-02-14',Трифонзарезан/СветиВалентин
'2024-03-01',БабаМарта
'2024-03-08',Деннажената
'2024-06-24',Еньовден
'2024-08-15',ГолямаБогородица
'2024-09-14',Кръстовден
'2024-10-26',Местенпразник-Димитровден
'2024-11-08',Архангеловден
'2024-12-06',Никулден
'2024-12-27',Стефановден
'2025-01-06',Йордановден
'2025-01-07',Ивановден
'2025-02-14',Трифонзарезан/СветиВалентин
'2025-03-01',БабаМарта
'2025-03-08',Деннажената
'2025-06-24',Еньовден
'2025-08-15',ГолямаБогородица
'2025-09-14',Кръстовден
'2025-10-26',Местенпразник-Димитровден
'2025-11-08',Архангеловден
'2025-12-06',Никулден
'2025-12-27',Стефановден
